time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	317.956324	0	-645.491568	-645.491568	12143.8058	-246.579838	-484.482142	-580.946928	-467.26515	178483.092	-108.272755	-606.927716	-429.232907	37872808.1	21617.0833	156720731.0	709983.818	21335.1257	-463.577076
2	300.404532	0	-537.322815	-230.424208	-484.247949	170.783077	-665.042816	2793.72126	1608.0919	107925.15	2992.95618	5603.50381	4056.21565	1608.71809	1101.88367	17807125.8	67948455.3	164556.724	404628.106
4	298.161535	0	-573.3702	-229.582836	-556.079583	-126.068708	-701.090201	-199.751706	-462.977489	962.041657	1654.26175	103.256445	-308.565575	99.4956163	300.774189	-284.417012	134942.871	835.449933	-389.935673
6	294.281799	0	-514.670363	518631.861	11550.0563	53.7456101	-251.737688	-95.7851043	-495.406424	1310198550.0	2054581.44	2354.03979	-654.590361	-281.202747	4138.81659	-385.003382	751593.38	7117730.67	44678.7485
8	299.423843	0	-527.271613	-214.758936	-419.164191	-274.12642	-654.991614	-190.309518	-446.212412	3031.61448	772.894665	2564.0477	-29.2029765	1725.277	516.021769	-303.089669	546348.843	309.247207	118.715874
10	294.55089	0	-603.204889	-280.906915	-562.611234	-242.055956	-730.92489	4553.56358	333.479498	46581.3223	78138.1113	728.218615	1362.14642	6075.8224	-225.035695	192.183727	118145.657	122087.859	16439.1403
12	292.070746	0	-504.988128	-341.255668	-555.278128	8696.99195	-450.944086	4105.28297	64010.2806	18363.9521	69.6248818	1011415.33	39003.2144	1045052.53	-587.434961	1592960380.0	1369.14361	280309.434	37329.3412
14	299.945169	0	-512.542692	-193.296018	-471.21436	-2.24319839	-640.262693	-188.150537	-457.373702	5401.067	-313.864108	100944.336	620.379865	-209.625324	-622.236527	-273.492345	-588.918041	286.982491	-399.543615
16	302.039008	0	-573.03428	-245.460749	-377.140588	957.631337	-700.754281	500.252213	-308.191665	8373.12327	865871260.0	-77.4510159	235313.353	281.452974	80536.0805	3264.05505	-420.225899	2845693.18	-48.8154135
18	295.621325	0	-522.898125	719.754807	-498.143999	-122.144239	-650.618126	547.433327	1098.71831	-174.715839	3969418.2	-42.7550574	3742.11309	6718.88773	3305.27016	-404.217036	702.401254	31.6318796	-486.22254
20	289.489229	0	-569.158408	1705545.32	2074.74165	-379.167439	-696.878409	-280.286793	-509.670709	-82.8520348	221781.876	276.723427	662.348561	-243.878517	2987.29691	-446.951417	2425.83337	-189.416628	-511.943985
22	293.534079	0	-537.572909	-118.580008	-466.024765	-258.716391	-665.292911	-23.5937732	-453.491955	204.686013	581292.537	814067.609	100.333683	303.899181	55621.7562	-37.9702474	541.474013	80.073578	-222.767962
24	299.135336	0	-601.019093	-293.183128	909.866101	1807.60609	-519.828722	-593.099093	-220.41765	15068.1736	42165.146	221631.932	-454.86883	10328.7498	-484.241175	-476.746527	1521.9189	6248.88265	3875865.42
26	299.83766	0	-593.098435	-149.003282	-329.751332	-480.675118	53321.8564	4535163.64	58030.7292	749733.189	72111716.6	-641.928437	161915046000.0	64291.0886	3854.06222	2060059.17	216.256738	29524960.7	1405330.16
28	303.67471	0	-580.05182	-529.073116	-334.642476	-554.99602	-506.193648	-391.977863	-112.239176	-449.996343	19736873.3	-628.88182	952549.609	-475.492392	-595.230843	41.2160844	-642.001343	-509.866624	334.90261
30	302.733521	0	-527.904253	1755186.2	244.539478	-307.4372	-655.624254	-248.294429	71.055368	930.172757	4124400.8	660.671319	2868164.13	-57.4789256	5721.90023	24598204.9	2807855.6	736236664.0	238.881322
32	298.976194	0	-491.208413	1482.03731	5875.31273	-285.70462	-290.789364	-276.926087	-121.614325	1212932.01	-488.946481	434.218921	25125881.0	-254.49227	-278.058972	-441.242316	-714.718408	95651523.6	-475.226194
34	298.959889	0	-564.768409	-491.006507	-414.168885	-457.342276	-470.245399	-556.848409	-408.464168	805.216251	-116.441811	550682695.0	381.270287	-156.336878	-282.594186	-575.40717	2142027640000.0	57509.7294	451.515017
36	296.249784	0	-506.804975	54.0351008	-343.088851	448601.349	11999.2633	-118.102899	2605.29224	47795.2737	5985752390.0	7000871.17	686579.656	-354.713908	-669.014982	256456.013	2373423.67	2495.09497	1217326.75
38	294.34175	0	-546.518518	-546.518518	1315.23786	-462.97254	-414.691437	-415.44147	-376.512197	-43.958858	-173.90011	152303898.0	609144.432	371.28558	10342.5997	-395.728261	26537550800.0	-119.456818	-162.70691
40	296.591895	0	-519.930005	-91.0989367	-345.626613	-291.768926	-647.650005	269.611871	-465.645717	16377.913	6305.01241	94486.591	-442.695729	26480809.2	68.1599299	-225.746497	-707.609559	-58.1430565	1537.33
42	300.79167	0	-519.554238	-356.348541	8822988.31	-335.796344	619.108033	-318.033296	-115.761083	834731.076	-286.537554	1341.79918	124782.867	-355.561466	531.986143	-488.705975	-743.064233	422156.513	-485.783885
44	296.252114	0	-592.074452	-514.284708	-182.408237	-511.47079	5718531.01	-584.154451	-391.108701	-49.6737114	7123.01383	10551.1071	89414.0061	1974.12548	2433.03354	-381.206577	1340433390.0	371.189532	-94.6103968
46	297.044791	0	-569.693905	-527.527294	-339.886213	-535.81359	-474.680058	-505.055061	-439.364539	-569.667966	-503.918204	-603.910879	-572.68683	-569.177646	-600.66146	5888.17165	-657.583353	-481.473485	-310.930908
48	296.658401	0	-598.235507	-424.585824	-227.320457	-426.571469	-443.382282	-590.315507	-502.912485	282.955345	212.731716	1417.58253	676.385042	2.73226313	32.679384	-129.581425	21935691.5	2088.9153	804.36691
50	298.515007	0	-541.243377	-541.243307	-412.649435	-101.511514	-465.948643	-507.380374	-175.261121	1938.87676	475.027768	79436.0131	86531.0654	42.7210119	3428.88835	-469.650182	3.82732562e+21	80.0028926	298.727773
52	298.085034	0	-490.931496	-300.474614	-467.078699	-293.190656	-618.651498	-286.212755	-483.825893	-233.219304	-491.645776	-164.834864	8449.32439	-248.830936	-606.882917	-241.442959	-534.439692	-242.148904	-390.446122
54	301.993376	0	-525.623526	-134.713449	-107.945489	-263.217479	-591.782177	-287.276966	-527.086569	5016.8021	-478.720564	-337.841137	-429.287959	270380902000.0	-309.167341	-489.519253	-749.13352	231597.09	8027.26186
56	301.599817	0	-507.376074	161.98528	-281.878048	-275.484185	-635.096075	-173.142583	-426.412285	634644575.0	-252.410851	-174.019567	820.549791	-142.699194	-582.535685	-323.70225	1108.42951	24429875.6	-13.0339709
58	298.97908	0	-516.12166	77965.5496	43520.9457	-351.626727	-643.841661	-283.641125	-485.300507	-11.1839841	668.845946	71981.6758	37.9405119	102658951000.0	-583.59951	-202.905915	-402.937859	37511.706	-154.113592
60	298.331778	0	-491.917841	-225.076748	-542.207842	-35.6938467	-436.835813	-191.33407	-180.820499	962.264791	90.5388886	713.049824	106.245334	268.186124	1944.82975	-274.227262	118.3958	1261.01153	776439.738
62	296.336623	0	-491.713712	757507.493	-459.070051	-299.950637	-619.433713	-182.715003	-442.513464	3931.26183	18039093.3	639279.994	1059.22499	82782.7706	25606.7169	792.357848	3625701.81	50.1523232	357667.514
64	295.278156	0	-555.147944	-555.123149	-360.378641	-519.405357	-486.747709	-535.806963	103.024359	202.308628	134.771038	884.901822	-388.589289	5760.71212	-448.267025	-634.398164	-446.647453	8320.41961	145080994.0
66	298.720757	0	-483.273389	-236.801687	-329.086639	-287.444971	-610.99339	82.4796243	-380.424596	15873.0806	5020.01699	9687.48824	8637.81499	5977.63911	-66.8714786	-217.854817	198.097841	1117.70312	2675.26591
68	292.727686	0	-503.808466	5387.93226	-308.100111	1171.37064	-631.528467	-171.892445	-437.999012	1157.81702	1885.74598	973.26202	1076169.03	206.47305	545.763243	184.095312	160541.232	13209.1014	10048796.1
70	300.505091	0	-552.140367	-364.185927	-280.158155	-429.83299	864.766221	-544.220366	-451.423943	29237.4016	22928.7605	11683.1921	56627733100.0	237.421484	8961.02672	777521277.0	-413.522283	166528.561	3333.17329
72	298.858235	0	-551.178036	-500.56065	43829.212	-19.6634832	-384.37885	-543.258036	-337.286107	118.889159	-202.091308	-441.941686	202.723708	-355.648607	-263.548506	1756.52775	13073.3619	219643781.0	-248.907797
74	298.555173	0	-603.072173	71807105200.0	-346.914071	1963.63479	-364.598772	-595.152173	-50.3514425	-215.180891	1855.01661	1841.00768	6683.21125	1340.1884	5552.84287	-369.451451	9444536.59	21487.0046	137.697399
76	305.720618	0	-490.325681	-237.270623	-534.301773	-165.845158	-560.343479	-184.766247	-531.76149	-132.743536	-568.544766	-105.954839	-319.993109	-183.138752	-543.011641	252.759499	-130.891363	105621.134	-480.241462
78	296.125489	0	-540.843001	-260.529	185.057269	1336893.73	-629.342832	5644.57599	19362.74	-109.436498	8601.93212	143.47158	20799174.9	461.994142	-703.053007	203195.668	3132.41129	558.932128	366133.738
80	301.53865	0	-518.122609	-313.106719	31436.0484	19943.4167	-569.814184	-45.9819673	28869.5328	531.867108	32767.2915	5875.17473	2853251.17	51634.8802	-680.332616	2908235260.0	65258.9807	3545.93596	1282311.38
82	300.769262	0	-469.0532	-134.830569	-296.302626	-247.505	-563.762084	-241.595873	-430.569548	-168.847995	280.046096	178.850381	4838.97474	925.423389	-631.263203	11364.818	-267.595844	113536.336	-311.710662
84	297.938021	0	-505.09041	-360.282191	-481.3042	-344.747673	-580.305876	-291.732723	-496.630738	-191.717355	-304.794519	3565.95172	-434.899995	-280.947138	-595.699868	-550.203643	-728.600404	-275.680056	-406.906945
86	293.946967	0	-575.96743	600.002574	-434.840287	3793.36077	-568.136781	-27.9941423	-406.677408	6693.55931	-516.107549	-624.797432	-576.242093	3408.06417	-591.674473	-673.373361	-516.355034	-347.896018	1143135.85
88	299.146331	0	-571.204152	-352.868571	-599.898761	-8.51266388	-506.000593	-273.479293	-624.903746	-207.314979	4051033.82	504.879698	-579.989388	135501.538	608234.24	6055.91655	388.437952	-300.843063	-478.272134
90	299.451504	0	-492.294165	-355.019187	-33.7874106	-353.508603	-427.398701	-341.939357	-3.11797008	-372.123006	-570.734168	87895.1222	104754.057	11259.1657	-100.376249	1772.79538	-543.14616	218.201541	-219.068484
92	296.247265	0	-545.825454	1592.22358	1694.45761	-253.290963	-576.267769	-336.347751	-570.340259	-251.78946	-368.240099	-129.325723	-519.762406	1256.71631	-495.442994	-346.263158	-385.822388	-349.70832	-602.485435
94	291.414153	0	-451.400032	-337.135544	-327.084237	280.250762	-274.509557	-443.480032	3281.79741	709303.384	11965812.9	631190.787	292883112.0	9356.12551	8281337.23	-420.297885	10866.546	3985189.44	201074572.0
96	300.312465	0	-500.562707	5920.59259	-477.788429	101.950509	-595.023966	-192.337806	-460.565256	53.391802	-273.794506	-203.632011	148953.826	-256.600891	-662.77271	25374.0449	-616.895682	253100.86	332773.082
98	296.530638	0	-534.084831	-329.360087	5134.88567	-340.486432	-325.562711	-526.164831	-423.499502	48730.9871	-385.87023	27710.1777	4259271.75	-356.454509	77144756900.0	-563.783832	204750.179	45753.0116	324593194.0
100	297.882484	0	-580.527659	-37.6726198	-611.223089	255.937099	-535.062168	-147.773892	-532.491121	57033.2342	-458.151186	-30.5559126	24812.2547	-291.206385	-644.744889	273184.298	1186.74295	3000.99745	-637.186748
102	301.838897	0	-548.538674	-343.799531	-413.041972	-361.862338	-676.258675	115354.389	256.388362	623.394488	1003.96533	42.2862483	1517.65709	-317.577627	-418.363012	-40.0186929	110.297998	1037.52534	17870.5497
104	300.354102	0	-486.745263	151.243418	-469.811771	-106.071498	-535.136331	-82.6291181	-454.260286	-128.498917	-500.745912	-212.691012	-626.665221	2823.77195	-621.6243	146.982266	-611.32791	2251.61373	53655167.4
106	297.215112	0	-490.440551	-31.8116266	-114.918359	232.212416	1083.67862	-196.326829	-453.621157	489.160431	-506.632457	99.5922855	1994.57482	-249.976982	-652.650557	-287.426962	-492.971291	-174.48703	285.268219
108	297.553055	0	-480.47259	-279.683603	-466.09355	4015.80308	2074.43083	-178.208972	-436.922269	79029.2473	8404.2687	49.9114088	392820.746	467.229908	-642.682596	366.977071	17741.4277	3165.20269	-319.03306
110	294.680948	0	-554.113699	-496.399262	-387.787893	-484.329172	-487.433462	-507.270874	-256.975428	-554.050862	-455.14875	-590.796336	-486.016412	-321.258126	-531.864028	-702.808276	-596.346827	-238.583355	-187.979765
112	293.250502	0	-562.326585	-527.451583	-434.113449	-537.691785	-508.65653	-464.446427	-377.813655	-539.709286	-396.319715	-544.293102	-538.691404	-32.5435811	15154.0483	-721.656314	-601.388771	13315.1964	445.341023
114	298.763863	0	-495.328843	195460.412	-444.49149	-196.78482	-585.258268	-232.358688	-429.961754	29789.5426	-270.607923	-214.431484	-536.65715	-263.234885	-657.538849	-288.253594	150.08406	-189.636239	13666.7722
116	292.739628	0	-522.367825	-309.278736	-501.109837	1035.87931	-601.906375	-282.076934	-480.511949	-173.628439	-429.64644	-140.512398	-522.528894	-304.973441	-684.577832	-298.853218	1452.63765	-250.283402	-418.515833
118	296.715178	0	-550.560374	51255.7777	20045.6743	-382.533009	-295.758356	-542.640374	1138.63775	1253.35121	81946369.8	496117.848	122571.835	153813004.0	-198.176544	196795479000.0	69818.1739	-265.255424	565.214026
120	298.779785	0	-559.223057	257.105409	-160.733132	722.39945	133.758212	-551.303057	-491.366419	10432.0788	8582589.16	17419960.8	12722.0138	4992295.46	-370.720045	16245169.2	1853615100000.0	-226.035091	54367.3248
122	296.626168	0	-597.409612	-544.74768	-422.12583	-574.840704	-523.389936	-361.596632	-326.323073	-561.273199	-479.872615	-646.23961	-560.012452	-567.819162	36.0547585	13379.6663	-302.538641	-284.813435	-424.655273
124	294.66762	0	-540.724887	-265.246878	-317.691889	-235.657178	-300.420932	-244.543558	-528.821111	8326.72987	-457.437555	-212.942791	-590.614887	-268.104232	-702.934894	-330.69424	2217.35509	-167.638042	-123.930124
126	292.989194	0	-510.84767	-315.706618	-460.77607	1675.09337	-171.222207	3431.22503	-476.524351	20287.6571	-435.615144	-225.249109	-601.419421	-290.380586	-673.057677	-415.790046	70162.1146	-296.63579	-472.854474
128	296.627419	0	-616.142764	-515.987263	-381.264967	-627.102764	-157.429559	-380.215357	-366.303913	1358.71852	23506.5367	1820.09756	-278.568021	-536.980265	-486.12364	299730.282	2041.89911	839566.404	116992.487
130	295.441684	0	-581.261156	-507.707998	-392.728672	-567.838351	399.255206	-164.154039	-261.544519	-508.227797	7171.97007	-597.621961	-190.087491	-594.64102	-601.329333	-691.501766	-608.771938	12386.7438	303.78189
132	291.174836	0	-559.54946	2726749.37	38539.7324	11125.545	11677.6364	-551.62946	596.442633	7907317.08	102664172.0	555.583889	245668.45	1497.62536	10124.3087	247108929.0	1975521.84	53615.4199	155414.223
134	296.495691	0	-521.187051	-512.432624	62.0722005	-437.64622	-368.839953	-435.735073	1793.71396	-123.011669	5072.47005	115.100448	255.339063	1245.59639	1371.02865	4369.82255	1169.67799	-489.943599	-432.453599
136	298.552472	0	-520.16489	-321.82031	-496.262222	-316.875751	1250.29726	-306.686151	-465.961596	6046.86474	290.086714	254.405063	-337.854716	-333.802094	-682.374896	-442.160544	-549.852893	-281.978462	-451.101852
138	293.973618	0	-559.041636	-468.430927	4466.05024	-191.425054	-291.87032	-551.121636	4976.23366	10761.6644	916.487109	12524.6197	296.302312	1479.33962	-504.647208	-185.058173	75724.8675	-283.204684	-101.212794
140	297.442135	0	-557.291972	-287.92994	-491.494932	-289.250857	-646.364188	-291.937103	-499.464539	891.122727	-476.785334	-306.26192	-636.379098	-342.403427	-719.501979	-268.441608	-705.842728	-230.702879	-254.21881
142	296.295339	0	-503.317799	-246.434193	-327.772902	30.8031929	-596.673999	-162.910066	-359.603128	895402.37	-328.791437	-127.730551	-574.515717	-287.070665	-665.527803	118629.561	-573.118984	536.361431	3527.49604
144	294.100375	0	-543.338599	-499.49917	-253.44519	-554.298599	-228.051066	-437.63346	-380.256542	-394.802769	1258324400.0	796.870816	2151.65898	7546.4287	3316.38674	181547129000.0	8517.13257	-330.959336	269.47067
146	299.323593	0	-592.50374	-517.832109	-242.675669	-603.46374	-567.710251	325.070412	-283.199029	1031.1818	3433.38885	35.5572237	-112.361363	-175.362649	-288.866979	-37.6015902	-575.72365	159760.064	4075901.09
148	295.252521	0	-577.18574	-87.5777321	-330.39368	-316.568733	-382.031058	-256.951389	639031.609	6364423590.0	1296.36998	570.52583	2495.17359	127.306649	-361.795318	-225.054	629241961000.0	-546.01574	-296.654135
150	296.687165	0	-528.641133	6620.43278	47.7575527	-217.759709	-601.416976	-172.94561	5298.61294	-101.308902	-233.892841	-46.9782718	-581.724703	-243.358054	-690.851139	-339.260829	-215.952187	-67.9315744	-411.599616
152	293.824313	0	-550.863679	-211.412312	-249.710003	142.612375	-265.680761	22.7957376	1298.57877	3409468.18	-278.649321	-412.920431	-690.783677	1201.72428	-335.09731	13523.6153	428.852923	385719.452	-533.890327
154	297.843278	0	-504.342006	2042.31253	2768.67903	-258.459699	-372.475661	514.798013	804.396329	3829.6766	-477.234692	-380.820245	-644.262004	1449.76882	-411.658467	75467.6294	-210.784386	6462.04203	-396.701493
156	298.546412	0	-550.097719	-517.749315	251340.524	2298.10406	544.135228	977.80793	-348.208537	-446.730256	-350.47587	-511.284503	1102470.37	-563.477714	-109.101001	-442.135305	-400.503404	215.859704	4594213.26
158	295.502481	0	-597.963981	-506.285541	-435.920855	-560.056473	-532.320075	-511.786486	-415.251949	-483.420645	-389.13229	-524.936664	-492.920271	-611.343981	480.658728	-672.155956	-607.468245	-426.225678	243.219321
160	302.469865	0	-523.916957	-523.916957	-372.620135	-400.027966	-492.564313	-440.392824	-408.24479	11221421.4	2152.29086	790.798197	1318.43388	702.284748	-212.079042	2423.67708	55965.747	1041.26965	3219.56373
162	299.740781	0	-501.310143	337.333435	22105.7504	-205.902362	-573.928545	-277.354017	-460.135962	2479.02851	-439.115572	653.531916	-454.528413	-326.295323	-663.52015	77.8256251	-557.001594	-107.474198	63888553.4
164	300.714291	0	-606.798835	-543.089214	-190.519176	-572.158517	-474.827919	-478.783343	-378.286267	-571.322264	-435.845272	-655.628836	1020.85856	-400.995308	-540.449275	-676.157211	-292.692281	-465.570703	-403.718197
166	295.569797	0	-456.870725	-224.369352	-390.818685	-281.559842	-584.590727	-152.403004	-387.01948	239.061467	-73.6101924	-63.3545008	7926.90257	1099.22439	227.942628	-249.855761	-476.962159	856.009161	-127.850763
168	297.537185	0	-493.449586	-275.024343	3064952.88	-239.952867	-589.245575	31239.4157	-279.892877	2829.27642	806.362353	3458081.5	52415.856	1433.06139	7503.87953	14843824.1	-716.959574	86691.0875	140.37737
170	296.675112	0	-517.015223	10378066000.0	1209940.65	-266.80904	-508.158822	-224.733772	-200.139346	-227.453229	1997.49768	82044.5445	-540.293562	154.670358	-679.225229	1007459.55	-593.997176	-60.1086051	172860.953
172	293.940972	0	-523.2799	655.935574	-481.159016	-210.666187	30662.49	-222.449524	-516.301123	-199.300849	-601.719891	12052.3761	-632.729681	2670812.67	8738.29168	-346.028585	7706.58727	-253.138767	3241.45262
174	297.373697	0	-460.794947	-125.021473	-241.166081	-164.783938	-588.514948	-115.958166	-289.743037	710.921052	3586.82328	56.9199594	4362.33138	2120.99354	3955.05386	1273.24074	1490.41193	-74.7426966	-310.323551
176	301.911548	0	-453.408332	-204.328122	-423.420551	-98.9574664	-581.128333	-172.097663	-440.034835	55.5646508	324.846942	165.033421	-29.9005084	19.2018627	821.439903	425.970112	-190.929672	-91.4312094	-395.295647
178	298.053219	0	-518.51979	-261.889439	-512.022365	-220.898641	-478.988416	-225.100128	3306.62313	748.798778	4217614.86	158908.101	566.83312	469.603995	16381.5207	572345.288	-742.029785	95.3556228	-238.760167
180	295.235013	0	-525.275994	68239.3202	-525.87802	-276.635643	-509.491691	-256.179433	-503.894744	-58.6247234	5485.82561	2959.74579	-358.531283	-209.017741	66.4347146	11142.5773	-748.785988	-199.877769	-375.115269
182	298.110775	0	-461.104401	-222.320213	-511.390858	11.6388838	-471.258742	219.457468	-498.5736	1650.84727	1245.37119	8890.64187	4978.63064	6622.63671	1508.33514	242.864561	3947.63048	-125.215249	-476.546733
184	292.358264	0	-564.328352	-514.686907	-381.945132	-456.683654	-475.217135	-490.157003	137.998995	-529.672232	-389.514027	-613.158345	-482.838501	-527.242092	-215.2717	-691.743388	-595.077208	-443.416207	-403.454206
186	299.055091	0	-495.252377	-235.126983	-545.542373	81.7856048	-503.37678	-229.326277	-516.786799	42007443600.0	2290.49333	173760.431	67978.7935	1237.48009	22198.4029	-87.5545826	-326.996109	4772.96637	-62.4048848
188	292.721502	0	-506.904049	-376.585811	246.307514	-418.105961	-423.062481	-498.984049	-361.095902	1977739.96	323589.438	5213.21076	-356.671732	708.56182	28579.5097	-67.0131035	925318504.0	2343881340.0	-152.198865
190	299.042196	0	-571.392255	-381.096029	-571.054925	-291.62352	46630.8726	3866.12207	-509.085118	5140008.22	756822.532	2482.98743	53344.5953	-29.136	-733.602262	27622895700000.0	-681.218031	-146.220444	-345.135923
