time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	303.645015	0	-527.241083	-527.241083	1696.47191	-244.779512	-236.109812	428.536698	33721.0134	1273260.29	2524180.59	-377.932717	-282.372156	33366.4154	572.452199	3555.26022	3556.63309	407455.248	54820007.1
2	302.512872	0	-355.912462	528.989638	-355.371625	-132.318725	-408.994944	171.198591	-358.87365	10749.3105	-429.783067	91842775.7	-522.492379	-149.367413	-484.915824	26858.6615	-432.887234	855.733009	18860738.6
4	299.080336	0	-386.589999	4444.43577	-455.079996	-57.2168088	1109.40914	4429.32016	5060.71129	2673.76406	2111.35849	836.9923	665810.762	11053.3132	2784734.82	5650386.55	-406.600712	213.981654	-188.819499
6	302.676984	0	-393.023861	12690.8137	-381.738612	-14.5323078	-399.834793	40152.029	-406.323546	3164814.47	-365.198829	616074447.0	4977.59368	2237.79209	2649.00424	-194.198165	13159.1881	558.217818	-462.783863
8	300.036598	0	-348.355616	-89.5769203	263.982696	-54.3128003	-499.725611	822141.069	-340.912499	674.36136	135289.547	1626.54958	1258.88869	517595.931	2836.62553	7343169.64	2864032.66	-16.8586631	77167732.2
10	294.903503	0	-367.430995	-310.727596	200.998147	-253.309717	-372.260118	-245.298247	1041.66131	-164.478135	-321.845074	1089.07212	-418.452705	-291.348411	-228.983604	-382.384044	164.072821	-336.740994	-300.893044
12	299.575588	0	-353.822625	-71.6145203	-367.671383	-116.105401	-505.19262	-64.2443354	-350.422701	2263.76738	3329.73396	1606.42585	100.68889	229973471.0	-246.794006	413.195011	839.259221	2826.75888	13320038.3
14	293.017332	0	-464.791317	-409.382132	-333.242814	-444.815466	-440.749464	-368.178743	-299.412319	63680.3384	2666.24014	-354.261672	1656.12053	-243.204532	-284.035118	-623.121318	-496.829904	-319.427751	-307.808544
16	299.458904	0	-453.899857	-387.869993	-328.465818	-422.161809	-413.008247	-365.991701	-278.004156	2185.72286	1264.41418	-283.501778	-432.22643	-160.215672	-420.381572	-612.229858	-545.248324	18.4607028	-25.2600044
18	302.501445	0	-361.293778	-131.425462	-178.53286	-39.5839925	-412.78725	-172.447106	-430.283776	2942.41981	14280.2756	25433.2835	1344.25541	619.74434	341.33392	-121.875125	2544.61078	3402.56565	733.770012
