time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	319.443392	0	-1082.91546	-1082.91546	-856.4063	1676188.98	1676330.39	3686.9063	3867.30155	30812.0417	30985.604	726302.6	726469.316	6018.61382	6176.68078	16039.0021	16232.8506	16208.8588	16393.6405
2	295.259779	0	-1106.47786	-937.583472	-998.877865	2113.7946	2039.22325	1043.44422	998.439175	332.330018	282.852697	18064.6142	18007.5801	145335.916	145279.497	21315.0696	21284.4347	3088.11704	3052.93016
4	296.934271	0	-1077.13063	3128.1271	3209.43949	-819.517785	-847.579817	7918.59083	7931.09439	18526626.6	18526632.2	469990.181	469987.506	-988.249765	-985.170636	-673.787241	-642.998037	375976693.0	375976713.0
6	304.038138	0	-1087.7983	-908.982097	-980.198305	8858.7713	8766.02936	2702.88041	2642.12707	220081.708	220022.046	240579.338	240509.553	5819.20497	5754.25073	1834.339	1794.60847	14561124.4	14561080.6
8	293.912187	0	-1054.12112	-913.501751	-946.521125	75012.6634	74963.4152	51792.56	51773.3262	6137.4864	6117.83572	30457.4205	30426.4368	398.152677	370.779566	-431.618251	-433.369052	2613195.87	2613188.02
10	301.270713	0	-1083.94663	-961.015642	-976.346636	248356121.0	248356093.0	24160.6805	24167.6356	1304120.12	1304123.49	661501.313	661493.119	50992.3163	50990.5117	1653.765	1675.62388	55364.2962	55377.3487
12	294.911978	0	-948.328226	19888138.1	19888450.9	22579.433	22725.2695	147562.106	147745.396	77770.0777	77948.9168	4865117520.0	4865117680.0	160024.666	160185.821	-863.388223	-672.68312	15409869.3	15410055.8
14	292.23666	0	-1080.33195	162.608105	215.347415	39383825.5	39383728.0	2633703.73	2633635.72	-797.309025	-877.471947	519251.475	519171.719	1072639.0	1072557.03	-690.105796	-744.569164	373719.223	373660.209
16	293.803617	0	-1037.21423	-943.374169	-929.61423	-494.267495	-486.386004	220.801607	260.351137	42622543.9	42622579.5	502.343915	523.973036	140911.311	140935.914	156.591978	206.631935	546252.813	546298.116
18	300.334656	0	-1085.22395	7328762.38	7328797.88	463319.49	463266.677	1131119.38	1131094.57	-842.414255	-882.363949	70565958600.0	70565958600.0	229192323000.0	229192323000.0	7927.84111	7917.94608	24313.4873	24297.5042
20	297.606628	0	-1100.48541	-929.901858	-992.885415	-383.724126	-467.146389	2437.43579	2388.26532	3162357.86	3162308.51	1880887.21	1880826.04	28228.1217	28170.5397	-568.756699	-605.04947	380564.63	380521.896
22	296.371371	0	-1045.30215	101012953.0	101012906.0	358239344.0	358239300.0	24455165600.0	24455165500.0	8308989770.0	8308989760.0	144152437.0	144152408.0	37353528200.0	37353528100.0	-840.481565	-848.672141	-605.185548	-616.752328
24	290.967978	0	-1077.44853	-920.410536	-969.848529	-237.198737	-297.649356	39663.2088	39631.6464	1878136.37	1878103.78	6523.42845	6481.75977	-157.430401	-199.903394	-459.835642	-471.527393	106544.023	106520.041
26	291.241643	0	-1068.57552	-979.380602	-960.975524	-564.795116	-561.506505	15357.8275	15392.4584	69986485.2	69986519.5	54.1979704	80.2911857	55286.7159	55314.7835	100415171.0	100415223.0	11814319.9	11814367.2
28	297.157232	0	-1070.64085	-969.749586	-963.040851	3076.6241	3073.48916	-804.206086	-778.545624	32110.1863	32134.0406	660450.421	660466.161	2786.27141	2803.7848	18565.0534	18607.1476	5003212.34	5003250.7
30	299.461676	0	-998.568914	11391944.8	11391901.3	884600878.0	884600843.0	632970596.0	632970588.0	45155001.5	45154995.5	25281688.5	25281667.2	2770903.77	2770889.76	-803.428771	-801.938909	482947.645	482945.641
32	299.157265	0	-1102.68715	-947.407483	-995.087152	614438.678	614368.2	183594.049	183550.806	583718.592	583675.254	1725610.45	1725556.28	-700.690708	-742.734971	68644.1057	68621.8998	6836890.47	6836864.29
34	297.442222	0	-1073.60675	-928.743764	-966.006747	250274738.0	250274681.0	31387129.1	31387103.9	29504592800.0	29504592800.0	228601376.0	228601338.0	13722.6157	13700.3996	26246.2958	26239.3875	384409.169	384397.745
36	297.190142	0	-1118.2538	870111960.0	870111884.0	-136.131329	-220.556048	2801565.39	2801511.64	-853.902802	-915.393798	11349257200000.0	11349257200000.0	63774268.9	63774203.9	58718.3206	58685.3425	125931.747	125891.328
38	296.363921	0	-1037.81938	286292.296	286228.862	99187270700.0	99187270700.0	-208.673719	-231.459056	3504258.06	3504236.58	737143874.0	737143835.0	2149501.26	2149469.28	-826.92572	-841.189376	2537.04657	2521.81529
40	303.855903	0	-1036.18464	262309377.0	262309283.0	2556788520.0	2556788430.0	1681200780.0	1681200720.0	2729368.32	2729307.92	6539945290.0	6539945230.0	48734187.1	48734119.0	-792.824804	-839.554634	2038837100.0	2038837050.0
42	294.49819	0	-979.280734	109450733.0	109450693.0	7312.42875	7263.32007	50222.4987	50208.2261	3601891030.0	3601891020.0	60925351000.0	60925350900.0	97473.023	97449.8816	-781.578531	-782.650729	470470.959	470463.78
44	299.669268	0	-994.84875	1832458460.0	1832458320.0	157070.616	156916.985	3894582760.0	3894582630.0	21875631700.0	21875631600.0	2473545060.0	2473544920.0	77070266.5	77070137.8	-689.924265	-798.218745	729564.563	729453.088
46	297.154726	0	-1004.27983	10509741.5	10509646.7	26289264.0	26289173.6	417819456.0	417819397.0	6602373570.0	6602373520.0	25209208.4	25209143.4	1684467.33	1684407.08	-764.3183	-807.649828	4808472.07	4808423.22
48	298.622206	0	-1050.23255	1667231.95	1667406.19	-1015.85255	-857.846288	246098.149	246290.899	43025.1997	43212.2894	637530.448	637709.913	1841867.21	1842038.68	34742.2816	34949.0564	1970621.76	1970819.25
50	300.525653	0	-1079.9289	82973273.7	82973216.4	312457449000.0	312457449000.0	8283.95777	8253.46455	-839.398595	-877.068897	9173118740.0	9173118700.0	135617683.0	135617638.0	8278.43093	8263.49083	-388.16127	-403.39793
52	298.975916	0	-1012.56021	10176619.0	10176505.9	6226348.21	6226241.7	5880985.64	5880898.21	40337502.6	40337420.7	249738032.0	249737936.0	5815892.55	5815798.19	-746.655233	-815.930205	21900900.3	21900827.1
54	298.010573	0	-1030.82946	1940044.36	1939992.57	9755.7077	9706.08439	297819.034	297804.01	-803.322617	-827.96946	1351954.2	1351928.12	13715006.8	13714976.2	4954.45997	4952.35952	94882232.7	94882225.8
56	297.562359	0	-1095.12165	392831.196	392759.755	-922.271758	-1008.80165	100805.304	100764.254	2604812600.0	2604812540.0	3445442.52	3445381.98	69223027.3	69222968.3	-401.972685	-435.915313	67863.0294	67826.7115
58	297.732955	0	-1087.84357	-999.706821	-980.243576	1480.65586	1479.7772	-602.077621	-573.402372	8272.67698	8299.97917	220521.52	220540.073	16707.193	16732.3204	2834132.74	2834180.96	2241816.42	2241859.57
60	303.850225	0	-1091.98521	1708.95222	1661.23272	-946.89864	-1005.66521	30143.191	30117.3349	624395.387	624378.945	8207.69289	8172.66223	5719.07231	5689.69712	4650.97656	4646.31216	20305930.8	20305921.2
62	302.000691	0	-1043.87839	186676.528	186645.411	28144774.0	28144750.0	19947605.8	19947607.6	-834.803955	-841.018391	30075915.1	30075909.3	615124.76	615118.92	28769932.4	28769951.6	7317169.05	7317182.57
64	304.842717	0	-969.162219	12295368.0	12295405.1	52512186600.0	52512186600.0	51286784500000.0	51286784500000.0	33789750700.0	33789750700.0	337830723.0	337830770.0	1037844.89	1037891.3	-846.020947	-772.532214	1023130.17	1023196.21
66	297.260971	0	-1081.0345	-910.102028	-973.434503	8187429.23	8187355.82	95501073.6	95501027.2	3115537960.0	3115537920.0	442586548000.0	442586548000.0	4586598840.0	4586598770.0	1520.09898	1487.72325	70570.5701	70535.0415
68	302.785123	0	-1003.28568	232519.62	232481.585	1096299810.0	1096299770.0	68937090800.0	68937090700.0	363369706.0	363369691.0	117170.942	117144.126	982333.972	982313.851	-809.760901	-806.655679	26542663700.0	26542663700.0
70	295.782351	0	-1001.89818	121808619.0	121808562.0	6426371.81	6426309.65	1743846.08	1743810.68	21613465.7	21613432.8	1338177950.0	1338177910.0	56290159.3	56290117.7	-786.846324	-805.268176	9990845160.0	9990845130.0
72	292.430352	0	-1052.88999	6906528920.0	6906528830.0	14374.2461	14275.5316	-788.044449	-863.989998	36108402800.0	36108402700.0	285835812000.0	285835812000.0	20905.1299	20829.1528	87295.249	87244.4734	706.844901	650.421363
74	297.723891	0	-1043.68067	-978.666637	-936.080674	624.8782	658.84197	2960325.63	2960388.89	25907.8186	25972.633	58098.8054	58154.2954	-811.717687	-756.706069	12527506.3	12527587.1	50816.3856	50892.3345
76	295.03008	0	-1006.81827	83801159.5	83801080.6	9643138200.0	9643138120.0	10371871.4	10371814.1	4365098080.0	4365098020.0	182108.443	182042.634	8.47723957e+19	8.47723957e+19	-769.600122	-810.188263	1733480540.0	1733480490.0
78	298.348015	0	-1087.86548	-1.24964015	-75.5383737	-913.54458	-1001.54548	-487.52376	-546.214476	1335745560.0	1335745500.0	269680.89	269614.607	1578.85337	1518.52689	584076.676	584038.842	40202976.1	40202931.6
