time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16
0	292.2265	0	-1031.82087	-1031.82087	-770.634282	353538.551	353779.148	39196.6424	39449.32	5862979.12	5863229.97	15701.4629	15950.0164	651430.031	651660.109	4133.17282	4409.20181	577.480919	843.034127
2	293.854104	0	-955.44486	1123069.01	1123343.44	39518.3333	39731.5941	22830.9784	23067.4817	761216.759	761450.599	5719875.49	5720104.22	5976.01924	6193.01645	-899.544858	-648.210249	607.179036	850.599775
4	308.813669	0	-1015.37617	-844.289945	-907.786168	30977.7985	30863.0705	79589602500.0	79589602400.0	31932739000.0	31932738900.0	57488302.8	57488226.5	395372210000.0	395372210000.0	1918018800.0	1918018750.0	1913.59131	1862.25579
6	300.743885	0	-960.843537	7019651.01	7019961.58	47031.5598	47286.8238	2857.98157	3131.4801	243176.783	243450.848	667247.301	667519.618	16010808.2	16011058.2	-904.943535	-618.041299	1746225.67	1746504.35
8	291.555514	0	-984.732733	559336.966	559293.777	871774.67	871679.773	2246271.2	2246210.24	43674478200.0	43674478100.0	4395089.18	4395029.81	417388.369	417313.294	780364.831	780322.138	-774.139157	-825.372733
10	294.355205	0	-924.546513	600575.936	600769.783	59533118.7	59533256.0	589.983091	750.017865	247888941.0	247889107.0	401979.306	402137.2	818044.324	818192.208	-868.646512	-683.600754	326818.002	326995.241
12	300.512321	0	-1023.81751	10425.5438	10442.006	-359.055963	-409.260508	7281.42954	7266.47402	4621.4123	4609.34467	69858.6182	69833.5236	-920.45886	-947.727511	2267660.32	2267665.66	1164210.49	1164204.04
14	303.032587	0	-882.190574	1009179.07	1009540.12	4304.50315	4603.47074	130955.191	131281.529	5485006990.0	5485007330.0	15150653.2	15150966.4	17009.2881	17313.9885	-826.290573	-489.188276	828773.017	829102.498
16	298.016098	0	-1007.05598	-1007.05598	-696.743812	1378.45225	1625.30013	-304.198183	-25.1770038	1129210.84	1129483.45	4846.55945	5126.90016	371241.641	371501.728	18550.4728	18849.1564	-217.758024	67.9806561
18	303.697583	0	-1018.74592	-1018.74592	-675.24639	172838.836	173111.96	48281.4292	48595.8638	69598.1055	69903.6043	10464173.3	10464477.1	14505840.1	14506140.5	3469824.5	3470157.21	4625336.78	4625657.82
20	296.219283	0	-974.914643	73205.894	73462.9435	5638.80332	5857.23209	4927.65198	5170.76938	-702.036516	-460.826642	-907.994645	-673.97262	-799.357286	-575.392792	-833.279127	-575.135597	-50.8031767	197.270918
22	299.699509	0	-971.981934	1998616.61	1998589.63	41875.0354	41808.007	150278040000.0	150278040000.0	336973.397	336954.433	1635601770.0	1635601740.0	1177151000.0	1177150970.0	79373.0234	79369.0591	-800.240871	-812.621934
24	298.858106	0	-956.12736	20436.1175	20487.0938	1077.91592	1072.3189	-791.552048	-780.797358	-92.8279287	-75.0226768	44627.722	44634.5563	7012.48682	7027.9806	260497.122	260539.488	2073788.74	2073817.91
26	289.511734	0	-912.647212	947466.295	947662.152	17759761.0	17759882.6	66131627.2	66131798.8	2997126.21	2997300.96	45732952400.0	45732952600.0	299512.258	299666.684	-856.747211	-667.497504	429648099.0	429648278.0
28	300.73458	0	-963.926526	6091528.88	6091803.12	8855818.0	8856011.5	120294.62	120527.667	37782239.0	37782475.5	43929973600.0	43929973900.0	1245187.62	1245404.23	-908.026524	-654.499151	182779.043	183024.602
30	297.012023	0	-949.444119	1707119.3	1707110.03	3044995.7	3044942.27	85697915.7	85697885.2	938891024.0	938890994.0	51450108.5	51450072.9	6365.51372	6323.64589	-719.253452	-728.837711	-767.96558	-790.084118
32	291.600436	0	-986.163279	3340643.21	3340912.4	41355.6224	41565.3957	82832.5697	83080.4265	237472.223	237714.365	324519.14	324754.065	8250702.76	8250931.42	-930.263277	-665.866421	-362.229316	-109.147384
34	302.861504	0	-919.603452	591087.838	591336.083	138399423000.0	138399424000.0	5671595.34	5671811.63	666244255.0	666244474.0	16184928.4	16185135.7	39978885300.0	39978885500.0	-863.70345	-627.084851	21992840000.0	21992840300.0
36	297.891114	0	-953.759724	3837926.09	3837806.41	33828.3183	33685.3616	16200.2204	16079.8218	940399.682	940280.08	288240817000.0	288240817000.0	3361694.08	3361570.62	-673.681679	-771.612833	-685.075818	-794.393476
38	292.465178	0	-985.721451	-985.721451	-716.808129	79327178.2	79327381.9	163787389.0	163787637.0	658733.713	658978.376	11493.3504	11732.7865	40050.69	40279.3431	30211.1143	30475.9111	1070531.05	1070784.95
40	304.437502	0	-960.727066	623199412000000.0	623199412000000.0	5423792620000.0	5423792620000.0	691447414000.0	691447414000.0	256864384.0	256864586.0	58129083.4	58129270.2	1541822080.0	1541822260.0	-904.827065	-684.440942	252385305.0	252385515.0
42	297.474655	0	-946.616706	457979462.0	457979729.0	2372925040.0	2372925220.0	340534.963	340766.256	12284154400.0	12284154600.0	387195440.0	387195658.0	93001806.6	93002024.0	-890.716705	-643.570871	124180.241	124419.655
44	299.22725	0	-915.276832	435661512.0	435661725.0	449268897000.0	449268897000.0	49799849.0	49800044.4	253672404.0	253672600.0	76413302700.0	76413302900.0	162634679.0	162634853.0	-859.376831	-651.556583	11352384.5	11352584.8
46	302.088826	0	-1033.69619	310778.524	310733.753	-834.136964	-953.74619	19025.9702	18955.8694	2611.64095	2541.93673	-88.5127698	-171.156185	2399.80652	2326.94901	-751.363845	-800.680387	10711818.1	10711759.8
48	301.410536	0	-932.795967	38311.9263	38557.7465	12344.2961	12513.1115	9537.46895	9742.25915	161357.076	161566.739	38419.6289	38622.3356	7188.76535	7393.39631	-876.895965	-650.437321	-334.534205	-119.122634
50	296.041481	0	-966.672419	803586996000.0	803586997000.0	31604145100.0	31604145200.0	9017326.55	9017507.6	1075194.64	1075379.83	3483791.83	3483955.07	6919834150.0	6919834310.0	-910.772418	-712.789346	260722.499	260914.614
52	300.619537	0	-965.74775	17709489.8	17709766.1	1965831.09	1966031.67	51004660200.0	51004660400.0	20495076.1	20495308.5	7389088.31	7389315.6	479913730.0	479913949.0	-909.847748	-654.858543	390517.241	390761.064
54	303.806238	0	-919.439371	9734898550.0	9734898810.0	312118395000.0	312118395000.0	11580564100.0	11580564400.0	121670.664	121882.775	30384458000.0	30384458200.0	29187134800.0	29187135000.0	-863.539369	-627.407901	155985333.0	155985563.0
56	297.010601	0	-985.774378	3204913720.0	3204913570.0	-850.182846	-905.824381	3349948.57	3349941.94	-493.052642	-503.736481	10787.4126	10765.3624	18978.9302	18962.6105	-640.770893	-635.560143	15188.64	15189.6275
58	294.952247	0	-910.007728	485226.346	485462.243	392415.663	392588.836	1463464990.0	1463465210.0	141083.718	141302.707	161162431.0	161162641.0	44051.5803	44251.2236	-854.107726	-617.971347	-144.495684	83.7091226
60	298.347664	0	-953.292302	53080134.6	53080449.8	40091.6579	40350.019	3981.34166	4269.32942	55881.1106	56171.3803	11472.6783	11755.3051	2039990.77	2040269.17	-897.3923	-583.190858	6496.62004	6799.45585
62	304.198842	0	-986.267526	151.209494	98.5735539	434.085779	337.636318	-740.789794	-810.937524	2975.39952	2909.10661	221.006658	151.046946	7058.0333	6984.0831	-537.949224	-587.881272	6665.0606	6610.06096
64	292.216968	0	-1005.29801	-1005.29801	-710.924692	2205125.99	2205362.59	-646.664127	-380.131981	10442703.4	10442962.0	562867.716	563128.343	4207.09373	4460.3161	95314.0356	95607.6355	3317074.89	3317357.17
66	293.99674	0	-934.097481	3759669.43	3759922.56	258828.74	259018.272	17204.4507	17430.2443	4593817.78	4594035.58	1579601.66	1579818.57	9590451650.0	9590451850.0	-878.19748	-636.928372	78755.1855	78988.8778
68	295.448023	0	-929.693065	54049292.7	54049509.8	5954807.2	5954957.94	1971770530.0	1971770720.0	59894894.6	59895096.3	1535783.73	1535968.55	22982594800.0	22982595000.0	-873.793063	-661.817659	18391.1959	18598.3285
70	295.17334	0	-1015.18183	-1015.18183	-766.30543	-568.811629	-391.129188	552664.46	552880.529	5410.73263	5624.63195	49599.0913	49807.3609	-125.884959	80.1876363	593.439599	833.591483	27412.0017	27642.5516
72	301.091703	0	-892.497427	306636.076	306864.03	76242.6263	76421.9301	5398407.3	5398615.46	9209814.3	9210016.0	3055542070.0	3055542270.0	17089.0437	17271.6801	-836.597425	-616.254568	65.3982733	277.751002
74	295.637483	0	-913.157063	112333686.0	112333919.0	22531695.7	22531867.5	105383.278	105598.631	3208906.68	3209121.52	62641216.6	62641418.7	401423.577	401619.915	-857.257061	-629.021886	3686.0052	3905.28766
76	292.803863	0	-930.15582	-930.15582	-719.116033	511671919.0	511672050.0	89663.5491	89822.5098	92234.828	92391.7656	1136930070.0	1136930230.0	559258.707	559409.084	-355.710724	-180.713989	30635654.6	30635823.3
78	302.972243	0	-912.430312	1502948940000.0	1502948940000.0	1675025150.0	1675025340.0	1736156.03	1736381.98	32937952.2	32938181.0	7443471010.0	7443471230.0	4050289.19	4050504.24	-856.530311	-609.064095	-110.684013	128.945979
80	296.727086	0	-996.499154	-996.499154	-732.307334	70518941.0	70519143.2	7202.93999	7429.92538	6139255.95	6139476.37	540781522.0	540781742.0	27995139.6	27995353.9	-408.754856	-160.71957	6472.83406	6714.70993
82	300.118684	0	-987.111504	-987.111504	-739.15945	72188.1517	72374.517	5711.69448	5934.97463	3206.99496	3425.6352	10751.4907	10965.1067	21338.5862	21547.9318	297.742265	540.284875	4641279.91	4641512.3
84	295.141894	0	-951.773387	-885.043701	-844.18339	2069.2844	2055.86735	538664.039	538695.255	9866.51731	9896.50895	17929.9499	17948.5768	65193.7385	65213.3046	2668527460.0	2668527510.0	210531.322	210573.98
86	293.552064	0	-914.26353	317867.226	318123.939	32058629.1	32058806.9	4447356920.0	4447357130.0	629452268000.0	629452268000.0	60851.5799	61063.928	211112.209	211323.076	-858.363528	-623.268798	-372.48124	-147.113538
88	301.199214	0	-970.635157	-970.635157	-726.196807	222.960828	383.821636	7626.54944	7802.22793	4015.55264	4179.88364	5590.32167	5756.90855	-766.286893	-609.524571	5283.26905	5475.76486	601.977734	780.653232
90	297.09387	0	-1007.01094	127501.483	127536.006	24600.3887	24582.337	296950.516	296963.114	5843.10124	5852.58217	20907930.7	20907934.9	-930.758409	-930.920947	219.163515	249.612017	5944744.35	5944766.62
92	299.433836	0	-1014.52535	-1014.52535	-778.624584	5120.26197	5281.65326	109.212858	289.884103	943486581.0	943486748.0	5758.07046	5938.78014	12374.6917	12541.416	6771.20161	6966.08016	54112.9557	54304.9791
94	300.084938	0	-1023.64006	-874.81333	-916.050066	10732464.4	10732378.3	14976471.2	14976446.2	22779389400.0	22779389300.0	23155.6731	23105.0943	10338.2468	10289.1943	3859534980000.0	3859534980000.0	82500180.0	82500153.8
96	296.658365	0	-1012.20319	-874.975044	-904.613192	100236.547	100150.953	27254.8092	27211.0883	28537339.4	28537297.7	2146.25873	2094.35457	-662.544638	-706.609732	-702.821302	-727.366348	31108.5281	31080.3786
98	299.773908	0	-980.698861	4729.53213	4714.7892	-778.377748	-834.79906	-773.951217	-805.368859	-524.986429	-545.540839	82367.2643	82330.5436	14612.6468	14588.0417	6337.62926	6329.89756	-683.882019	-695.49579
100	298.105189	0	-914.33681	23083.0132	23067.0681	16393.4028	16327.5801	-696.584163	-739.006808	-360.748442	-402.571619	530.189165	480.779081	-162.471515	-194.249492	6395.59614	6376.25742	50203376.7	50203354.8
102	298.009213	0	-1030.96073	-890.156481	-923.370732	25745.6281	25662.5534	5566.66684	5519.51246	13786.7592	13735.9218	168295.526	168239.88	5561.90839	5507.7194	-721.950214	-745.320875	34037.2642	34004.9916
104	293.605132	0	-962.489069	38919.9744	38878.3758	151269.869	151190.229	119141.655	119090.942	271790.604	271746.003	2119508.78	2119449.45	58014.2508	57963.3664	7431655.85	7431627.19	-763.529303	-803.129069
106	297.216009	0	-998.044668	-848.046054	-890.454671	1287168.84	1287075.79	1135984.84	1135934.26	61818192.4	61818138.7	1049.072	991.485986	-263.827276	-318.114409	2842904180000.0	2842904180000.0	1042298110.0	1042298070.0
108	300.963171	0	-1031.23617	-870.959889	-923.646176	518.066274	416.169416	258272.356	258220.424	1030106.14	1030049.06	19528.5296	19458.2025	939.817824	869.075279	54770.8244	54733.4121	652.175915	604.918025
110	296.100165	0	-1029.29706	134588.602	134575.321	-405.367907	-459.979002	-816.312943	-853.967059	17322.9158	17288.6482	113990.68	113946.034	82.6740024	45.8207807	8134.33044	8123.63625	27880.0176	27861.4926
112	299.665119	0	-961.056904	125297.473	125297.24	1114.9349	1089.03155	-776.654136	-785.726903	4206476.41	4206484.36	380907.786	380894.791	2404.09563	2389.29731	6462371930000.0	6462371930000.0	532457.986	532464.828
114	299.156286	0	-1017.96379	-891.757629	-910.373794	2289571.5	2289499.3	-283.156653	-311.793178	119767.278	119743.198	176601.922	176560.914	116971.297	116928.316	15041887.2	15041874.6	7437390.84	7437373.62
116	293.799979	0	-939.212103	19499.5491	19696.6325	-917.152104	-768.125367	4120.30005	4298.60724	71548.3387	71715.9729	42402.873	42570.8643	692.115	857.104512	452304.938	452506.381	111387831000.0	111387831000.0
118	293.44132	0	-985.059559	4231031.95	4231291.83	-354.996458	-134.042131	562663.251	562899.099	8095.27139	8338.07033	-918.139561	-690.653067	1613.55145	1837.04307	140787.983	141045.853	229800.21	230046.302
